from, to ,weight
164,222,4
165,222,3
5,164,3
164,165,3
5,165,3
5,222,3
12,197,2
191,197,2
87,149,2
23,149,2
183,252,2
6,158,2
61,151,2
80,151,2
113,164,2
80,113,2
102,113,2
151,164,2
80,164,2
33,61,2
80,102,2
33,151,2
102,151,2
34,222,2
102,164,2
33,164,2
33,113,2
61,164,2
61,113,2
34,164,2
33,102,2
61,102,2
33,80,2
113,151,2
61,80,2
5,188,2
165,188,2
188,222,2
164,188,2
196,250,1
112,196,1
112,250,1
68,112,1
68,174,1
112,174,1
97,153,1
97,112,1
112,153,1
29,112,1
29,195,1
112,195,1
20,75,1
28,75,1
112,128,1
75,128,1
20,28,1
20,128,1
75,144,1
112,144,1
28,128,1
20,144,1
20,112,1
75,112,1
28,144,1
128,144,1
28,112,1
266,270,1
157,257,1
58,257,1
157,261,1
58,261,1
58,157,1
257,261,1
196,260,1
56,248,1
56,269,1
248,269,1
0,112,1
230,246,1
82,112,1
112,230,1
82,230,1
0,246,1
0,230,1
0,82,1
82,246,1
112,246,1
220,249,1
173,258,1
209,233,1
98,258,1
98,209,1
173,233,1
178,209,1
209,234,1
173,209,1
98,233,1
233,258,1
173,178,1
178,233,1
173,234,1
233,234,1
98,178,1
209,258,1
178,234,1
98,234,1
98,173,1
178,258,1
234,258,1
24,64,1
24,90,1
15,24,1
15,64,1
15,90,1
64,90,1
159,241,1
159,242,1
227,241,1
159,227,1
227,242,1
241,242,1
83,159,1
83,241,1
83,227,1
83,242,1
153,179,1
56,171,1
56,198,1
137,229,1
137,171,1
56,229,1
171,229,1
198,229,1
137,198,1
171,198,1
56,137,1
12,146,1
146,167,1
12,167,1
167,197,1
146,197,1
90,163,1
16,163,1
59,163,1
59,90,1
16,152,1
90,152,1
59,152,1
16,59,1
152,163,1
16,90,1
1,60,1
1,201,1
60,201,1
159,247,1
154,247,1
77,154,1
77,159,1
154,159,1
77,247,1
54,197,1
120,197,1
54,145,1
145,191,1
120,145,1
54,120,1
145,197,1
120,191,1
54,191,1
1,218,1
1,236,1
218,236,1
1,143,1
143,236,1
143,218,1
127,153,1
99,127,1
99,153,1
134,135,1
135,225,1
134,225,1
124,153,1
124,245,1
153,245,1
89,228,1
122,228,1
89,122,1
84,259,1
84,123,1
84,256,1
123,259,1
256,259,1
123,256,1
101,264,1
3,264,1
101,238,1
3,238,1
3,101,1
238,264,1
100,253,1
74,172,1
235,253,1
0,74,1
0,100,1
0,172,1
0,235,1
172,253,1
100,172,1
74,253,1
74,100,1
0,253,1
74,235,1
100,235,1
172,235,1
26,67,1
12,26,1
26,191,1
67,191,1
26,197,1
67,197,1
12,67,1
12,191,1
76,109,1
43,109,1
109,232,1
103,109,1
43,76,1
76,232,1
43,232,1
103,232,1
76,103,1
43,103,1
86,118,1
86,211,1
117,211,1
86,117,1
118,211,1
117,118,1
86,204,1
204,211,1
118,204,1
86,116,1
116,118,1
116,117,1
117,204,1
116,211,1
116,204,1
LetÃ­cia Colin Panegossi,216,1
LetÃ­cia Colin Panegossi,187,1
187,216,1
11,19,1
8,19,1
8,11,1
150,202,1
176,202,1
150,176,1
31,69,1
31,231,1
31,39,1
130,262,1
132,231,1
39,132,1
31,262,1
30,237,1
132,262,1
